"My Cart (%s item)","My Cart (%s item)"
"My Cart (%s items)","My Cart (%s items)"
"My Cart","My Cart"
"Cannot remove the item.","Cannot remove the item."
"Item not found or already ordered","Item not found or already ordered"
"Product Name","Product Name"
"Move to Wishlist","Move to Wishlist"
"Unit Price","Unit Price"
"Qty","Qty"
"Subtotal","Subtotal"
"Clear Shopping Cart","Clear Shopping Cart"
"Update Shopping Cart","Update Shopping Cart"
"Process to Checkout","Process to Checkout"
"Shopping Cart","Shopping Cart"
"Your orders have been received.","Your orders have been received."
"Thank you for your purchase!","Thank you for your purchase!"
"Your orders # are: %s.","Your orders # are: %s."
"Your order # is: %s.","Your order # is: %s."
"Your order # are: %s.","Your order # are: %s."
"Your order # is: %s.","Your order # is: %s."
"You will receive an order confirmation email with details of your order and a link to track its progress.","You will receive an order confirmation email with details of your order and a link to track its progress."
"Your billing agreement # is: %s.","Your billing agreement # is: %s."
"Your recurring payment profiles:","Your recurring payment profiles:"
"Payment profile # %s: "%s".","Payment profile # %s: "%s"."
"Continue Shopping","Continue Shopping"
