"CMS","CMS"
"Pages","Pages"
"Orders","Orders"
"Amounts","Amounts"
"Items","Items"
"Customer","Customer"
"Guest","Guest"
"Item","Item"
"Total","Total"
"Lifetime Sales","Lifetime Sales"
"Bestsellers","Bestsellers"
"Average Orders","Average Orders"
"Product Name","Product Name"
"Price","Price"
"Quantity Ordered","Quantity Ordered"
"Revenue","Revenue"
"Tax","Tax"
"Shipping","Shipping"
"Quantity","Quantity"
"DashBoard","DashBoard"
"Dashboard","DashBoard"
"Last 24 Hours","Last 24 Hours"
"Last 5 Orders","Last 5 Orders"
"Last 5 orders","Last 5 orders"
"Last 5 Search Terms","Last 5 Search Terms"
"Last 7 Days","Last 7 Days"
"Current Month","Current Month"
"Grand Total","Grand Total"
"YTD","YTD"
"2YTD","2YTD"
"No Data Found","No Data Found"
"Select Range","Select Range"
"Last 5 Transactions","Last 5 Transactions"
"Last 5 Reviews","Last 5 Reviews"
"Description","Description"
"Created At","Created At"
"Amount","Amount"
"Balance","Balance"
"Created time","Created time"
"Title","Title"
"Review","Review"
"Rating","Rating"
"Customer Name","Customer Name"
"Reset Filter","Reset Filter"
"Page","Page"
"of %s pages","of %s pages"
"per page","per page"
"Total %d records found","Total %d records found"
