
"Import/Export","Import/Export"
"Manage Images","Manage Images"
"Import","Import"
"Export","Export"
"Import Products","Import Products"
"Enable Import Products Feature","Enable Import Products Feature"
"Thumbnail","Thumbnail"
"Filename","Filename"
"Filesize (Byte)","Filesize (Byte)"
"Last modified","Last modified"
"Action","Action"
"Page {{current_page}} of {{page_count}} | Total {{total_items}} images found","Page {{current_page}} of {{page_count}} | Total {{total_items}} images found"
"Page {{current_page}} of {{page_count}} | Total {{total_items}} files found","Page {{current_page}} of {{page_count}} | Total {{total_items}} files found"
"Next","Next"
"Previous","Previous"
"Select Files ...","Select Files ..."
"Please select items.","Please select items."
"Select Visible","Select Visible"
"Unselect Visible","Unselect Visible"
"Delete","Delete"
"Media files only","Media files only"
"Manage CSV Import Files","Manage CSV Import Files"
"CSV,XML files only","CSV,XML files only"
"Export Files","Export Files"
"Export Products","Export Products"
"Type","Type"
"Back","Back"
