"Vendors","Vendors"
"Manage Groups","Manage Groups"
"Manage Vendors","Manage Vendors"
"Manage Vendor Attributes","Manage Vendor Attributes"
"Configuration","Configuration"
"Marketplace Mode","Marketplace Mode"
"This html code will be displayed at the footer of vendor cpanel.","This html code will be displayed at the footer of vendor cpanel."
"Calculate Commission Based On","Calculate Commission Based On"
"Create New Account Options","Create New Account Options"
"Enable vendor register","Enable vendor register"
"Vendor Approval","Vendor Approval"
"If yes, Vendor need to be reviewed and approved by admin.","If yes, Vendor need to be reviewed and approved by admin."
"After vendor register he will be assigned to this default group.","After vendor register he will be assigned to this default group."
"Default Group","Default Group"
"Default Welcome Email","Default Welcome Email"
"This welcome email will be sent to vendor when he register.","This welcome email will be sent to vendor when he register."
"Email Sender","Email Sender"
"Require Emails Confirmation","Require Emails Confirmation"
"If "Yes" vendor email account need to be verify.","If "Yes" vendor email account need to be verify."
"Confirmation Link Email","Confirmation Link Email"
"This email will be sent if the option "Require Emails Confirmation" is set to "Yes". It contains steps to verify vendor email account.","This email will be sent if the option "Require Emails Confirmation" is set to "Yes". It contains steps to verify vendor email account."
"Welcome Email","Welcome Email"
"This email will be sent instead of default welcome email, after account confirmation.","This email will be sent instead of default welcome email, after account confirmation."
"Password Options","Password Options"
"Forgot Email Template","Forgot Email Template"
"This email is sent when vendor use the forgot password function with instruction about how to reset password.","This email is sent when vendor use the forgot password function with instruction about how to reset password."
"Remind Email Template","Remind Email Template"
"This email is sent after vendor click to reset password link from "Forgot Email".","This email is sent after vendor click to reset password link from "Forgot Email"."
"Forgot and Remind Email Sender","Forgot and Remind Email Sender"
"Recovery Link Expiration Period (days)","Recovery Link Expiration Period (days)"
"<strong>Grand Total</strong>,<strong>Subtotal</strong>,<strong>Subtotal After Discount</strong> is used for <strong style='color: #FF0000;'>Advanced Mode</strong> only<br /><strong>Item Row Total</strong> is used for <strong style='color: #FF0000;'>General Mode</strong> only","<strong>Grand Total</strong>,<strong>Subtotal</strong>,<strong>Subtotal After Discount</strong> is used for <strong style='color: #FF0000;'>Advanced Mode</strong> only<br /><strong>Item Row Total</strong> is used for <strong style='color: #FF0000;'>General Mode</strong> only"
"<p><strong>General</strong>:With General mode all products in shopping cart from vendors will be processed together to one order so vendor can only see some information about the order.</P><p><strong>Advanced</strong>:With Advanced mode products on shopping cart will be separated by vendors and they will be processed by each vendor. Vendor can have full access to his orders,invoices,shipments,creditmemo.</p><p><strong>Advanced X</strong>:With Advanced X mode products on shopping cart will NOT be separated by vendors. One shopping cart is used for all vendor products, one time checkout for all vendor products and orders are still splitted by each vendor. Vendor can have full access to his orders,invoices,shipments,creditmemo.THIS MODE WILL WORK WITH ONLY SOME PAYMENT METHODS(tested with Check Money Order, Cash On Delivery, Purchase Order, Saved CC, paypal pro - credit card only)</p><p style='color:#ff0000;'>You should not to change this option after your website go to live</p>","<p><strong>General</strong>:With General mode all products in shopping cart from vendors will be processed together to one order so vendor can only see some information about the order.</P><p><strong>Advanced</strong>:With Advanced mode products on shopping cart will be separated by vendors and they will be processed by each vendor. Vendor can have full access to his orders,invoices,shipments,creditmemo.</p><p><strong>Advanced X</strong>:With Advanced X mode products on shopping cart will NOT be separated by vendors. One shopping cart is used for all vendor products, one time checkout for all vendor products and orders are still splitted by each vendor. Vendor can have full access to his orders,invoices,shipments,creditmemo.THIS MODE WILL WORK WITH ONLY SOME PAYMENT METHODS(tested with Check Money Order, Cash On Delivery, Purchase Order, Saved CC, paypal pro - credit card only)</p><p style='color:#ff0000;'>You should not to change this option after your website go to live</p>"
"Please enter a number 1 or greater in this field.","Please enter a number 1 or greater in this field."
"Header Logo","Header Logo"
"Footer Html","Footer Html"
"Vendor New account","Vendor New account"
"Vendor New account confirmation key","Vendor New account confirmation key"
"Vendor New account confirmed","Vendor New account confirmed"
"Vendor Forgot Password","Vendor Forgot Password"
"Vendor Remind Password","Vendor Remind Password"
"Item information","Item information"
"Vendor Name","Vendor Name"
"Website","Website"
"Logo","Logo"
"Address","Address"
"City","City"
"Country","Country"
"Status","Status"
"Vendor information","Vendor information"
"Vendor Id","Vendor Id"
"Group","Group"
"Email","Email"
"First Name","First Name"
"Last Name","Last Name"
"Display Name","Display Name"
"Logo","Logo"
"Company","Company"
"Telephone","Telephone"
"Address","Address"
"State/Province","State/Province"
"Zip/Postal Code","Zip/Postal Code"
"Additional Information","Additional Information"
"Password Management","Password Management"
"Password","Password"
"Vendor Information","Vendor Information"
"Main","Main"
"Save","Save"
"Delete Vendor","Delete Vendor"
"Edit Vendor "%s"","Edit Vendor "%s""
"Add Vendor","Add Vendor"
"Frontend Properties","Frontend Properties"
"No","No"
"Yes","Yes"
"Use in Quick Search","Use in Quick Search"
"Use in Advanced Search","Use in Advanced Search"
"Comparable on the Frontend","Comparable on the Frontend"
