"CMS","CMS"
"Pages","Pages"
"Message (%s)","Message (%s)"
"Message","Message"
"Inbox","Inbox"
"Outbox","Outbox"
"Trash","Trash"
"Send Message","Send Message"
"new message","new message"
"inbox","inbox"
"outbox","outbox"
"trash","trash"
"Messages","Messages"
"Message information","Message information"
"Content","Content"
"Recipient","Recipient"
"Subject","Subject"
"Content","Content"
"Mark As Unread","Mark As Unread"
"New Message","New Message"
"Message ID","Message ID"
"Received At","Received At"
"From","From"
"Subject","Subject"
"Action","Action"
"View","View"
"Mark As Unread","Mark As Unread"
"Mark As Read","Mark As Read"
"Restore","Restore"
"Delete","Delete"
"Are you sure?","Are you sure?"
"Inbox ","Inbox "
"Outbox","Outbox"
"Trash","Trash"
"You do not have permission to access this page.","You do not have permission to access this page."
"Vew Message","Vew Message"
"New Message","New Message"
"Message does not exist","Message does not exist"
"You do not have permission to access this page.","You do not have permission to access this page."
"Your message has been sent.","Your message has been sent."
"Your message has been marked as unread.","Your message has been marked as unread."
"Please select item(s)","Please select item(s)"
"Total of %d message(s) were successfully processed","Total of %d message(s) were successfully processed"
"You do not have permission to access this page.","You do not have permission to access this page."
"Your message were successfully deleted","Your message were successfully deleted"
"Total of %d message(s) were successfully deleted","Total of %d message(s) were successfully deleted"
"Total of %d message(s) were successfully restored","Total of %d message(s) were successfully restored"
"Account type %s does not exist.","Account type %s does not exist."
"Customer email account is not exist.","Customer email account is not exist."
"Vendor account does not exist","Vendor account does not exist"
"Customer account does not exist","Customer account does not exist"
"Admin account does not exist","Admin account does not exist"
"Recipient email is not exist.","Recipient email is not exist."
"Important Unread messages","Important Unread messages"
"You have %s unread messages.","You have %s unread messages."
"Recipient ","Recipient "
"Subject ","Subject "
"Message is sending ...","Message is sending ..."
"Message is sent ...","Message is sent ..."
"Reply","Reply"
"Back","Back"
"Submit","Submit"
"Are you sure you want to do this?","Are you sure you want to do this?"
"You have no messages.","You have no messages."
"Please select items.","Please select items."
"Are you sure ?","Are you sure ?"
"You need to login to use this function !","You need to login to use this function !"
"%s","%s"
